22	377	1	878887116
234	1184	2	892079237
167	486	4	892738452
301	98	4	882075827
178	332	3	882823437
87	384	4	879877127
115	20	3	881171009
194	165	4	879546723
267	518	5	878971773
62	382	3	879375537
286	208	4	877531942
198	498	3	884207492
94	789	4	891720887
59	23	5	888205300
194	1211	2	879551380
99	268	3	885678247
85	427	3	879456350
254	164	4	886472768
279	1240	1	892174404
213	172	5	878955442
92	1079	3	886443455
181	220	4	878962392
110	688	1	886987605
269	127	4	891446165
229	328	1	891632142
70	746	3	884150257
233	202	5	879394264
301	56	4	882076587
201	146	1	884140579
119	222	5	874775311
13	198	3	881515193
42	546	3	881105817
145	15	2	875270655
1	160	4	875072547
218	430	3	877488316
240	879	3	885775745
144	89	3	888105691
142	169	5	888640356
43	323	3	875975110
308	402	4	887740700
269	845	1	891456255
102	823	3	888801465
301	604	4	882075994
293	135	5	888905550
181	279	1	878962955
92	587	3	875660408
99	111	1	885678886
257	137	4	882049932
222	278	2	877563913
269	246	5	891457067
184	187	4	889909024
62	712	4	879376178
281	338	2	881200457
234	187	4	892079140
293	249	3	888905229
234	448	3	892335501
119	382	5	874781742
308	55	3	887738760
79	303	4	891271203
269	507	4	891448800
294	931	3	889242857
282	325	1	881703044
13	901	1	883670672
56	71	4	892683275
280	540	3	891702304
269	705	2	891448850
246	665	4	884922831
193	407	4	889127921
308	295	3	887741461
263	96	4	891298336
234	318	4	892078890
164	620	3	889402298
234	10	3	891227851
93	820	3	888705966
267	121	3	878970681
42	44	3	881108548
235	230	4	889655162
42	1028	4	881106072
295	190	4	879517062
87	82	5	879875774
181	696	2	878962997
65	806	4	879216529
62	665	2	879376483
161	48	1	891170745
7	378	5	891353011
43	203	4	883955224
255	1034	1	883217030
230	1444	2	880485726
25	222	4	885852817
6	258	2	883268278
85	1065	3	879455021
268	583	4	876513830
2	251	5	888552084
234	632	2	892079538
308	1286	3	887738151
288	305	4	886372527
186	250	1	879023607
60	162	4	883327734
13	858	1	882397068
85	433	3	879828720
313	478	3	891014373
269	252	1	891456350
135	1046	3	879858003
151	13	3	879542688
294	1245	3	877819265
145	974	1	882182634
176	875	4	886047442
109	97	3	880578711
11	425	4	891904300
276	419	5	874792907
49	995	3	888065577
42	98	4	881106711
274	50	5	878944679
128	182	4	879967225
308	516	4	887736743
143	682	3	888407741
297	25	4	874954497
291	1016	4	874833827
181	1332	1	878962278
76	61	4	875028123
248	117	5	884535433
179	339	1	892151366
188	237	3	875073648
154	242	3	879138235
285	150	5	890595636
49	68	1	888069513
94	174	4	885870231
181	1334	1	878962240
230	138	3	880485197
305	483	5	886323068
14	174	5	890881294
10	285	5	877889186
4	303	5	892002352
130	234	5	875216932
101	596	3	877136564
305	79	3	886324276
303	693	4	879466771
197	302	3	891409070
18	182	4	880130640
274	748	5	878944406
222	88	4	878183336
180	1119	3	877128156
85	187	5	879454235
210	274	5	887730676
294	930	3	889242704
314	1150	4	877887002
161	898	3	891170191
106	582	4	881451199
92	540	2	875813197
295	172	4	879516986
287	252	1	875334361
222	148	2	881061164
158	510	3	880134296
94	1048	4	891722678
282	288	4	879949367
252	300	4	891448664
150	129	4	878746946
57	682	3	883696824
197	300	4	891409422
214	693	3	891544414
178	276	3	882823978
90	245	3	891382612
38	679	5	892432062
287	294	5	875333873
135	39	3	879857931
49	625	3	888067031
32	290	3	883717913
306	14	5	876503995
30	539	3	885941454
262	293	2	879790906
83	301	2	891181430
269	674	2	891451754
224	191	4	888082468
73	56	4	888626041
13	150	5	882140588
312	494	5	891698454
239	58	5	889179623
311	419	3	884364931
1	17	3	875073198
181	874	1	878961749
46	307	3	883611430
286	154	4	877533381
234	808	2	892335707
50	823	3	877052784
223	977	2	891550295
298	252	4	884183833
269	9	4	891446246
254	188	3	886473672
176	258	4	886047026
49	7	4	888067307
313	745	3	891016583
249	723	4	879641093
87	2	4	879876074
177	209	4	880130736
264	33	3	886122644
